"dish_liked","cuisine_type","location","restuarant_type"
"Aalo Bhaja","Bengali","Kammanahalli","Quick Bites"
"Aalo Bhaja","Bengali","BTM","Quick Bites"
"Aalo Bhaja","Bengali","Marathahalli","Casual Dining"
"Aalo Bhaja","Bengali","Electronic City","Quick Bites"
"Aalo Bhaja","Bengali","HSR","Casual Dining"
"Aam Panna","North Indian","Ulsoor","Cafe"
"Aam Panna","North Indian","Old Airport Road","Fine Dining"
"Aam Panna","North Indian","JP Nagar","Casual Dining"
"Aam Panna","North Indian","Whitefield","Casual Dining"
"Aam Panna","North Indian","Banashankari","Casual Dining"
"Aam Panna","North Indian","Jayanagar","Casual Dining"
"Aam Panna","North Indian","Brookefield","Food Court"
"Aamras","Rajasthani","Whitefield","Casual Dining"
"Aamras","Rajasthani","HSR","Quick Bites"
"Aamras","Rajasthani","Malleshwaram","Casual Dining"
"Aamras","Rajasthani","Lavelle Road","Casual Dining"
"Aamras","Rajasthani","Koramangala 7th Block","Casual Dining"
"Aamras","Rajasthani","Indiranagar","Casual Dining"
"Aamras","Rajasthani","Sadashiv Nagar","Casual Dining"
"Abbabi Chicken","Fast Food","Bellandur","Quick Bites"
"Achari Chicken","North Indian","Marathahalli","Casual Dining"
"Achari Mushroom","North Indian","Electronic City","Casual Dining"
"Achari Paneer","North Indian","Whitefield","Quick Bites"
"Achari Paneer","North Indian","Indiranagar","Casual Dining"
"Achari Paneer","North Indian","HSR","Casual Dining"
"Adrak Ke Panje","Mughlai","New BEL Road","Casual Dining"
"Afghan Chicken","North Indian","Bannerghatta Road","Casual Dining"
"Afghan Chicken","North Indian","Electronic City","Casual Dining"
"Afghan Chicken","North Indian","Bellandur","Delivery"
"Afghan Chicken","North Indian","Ulsoor","Quick Bites"
"Afghani Biryani","Biryani","Jayanagar","Casual Dining"
"Afghani Chaap","Arabian","HSR","Quick Bites"
"Afghani Kebab","Finger Food","Electronic City","Bar"
"Afghani Momos","Chinese","Marathahalli","Quick Bites"
"Aglio Olio Pasta","Cafe","HSR","Cafe"
"Aglio Olio Pasta","Cafe","HSR","Quick Bites"
"Aglio Olio Pasta","Cafe","Hennur","Cafe"
"Ajwaini Paratha","North Indian","HSR","Quick Bites"
"Ajwaini Paratha","North Indian","Kalyan Nagar","Quick Bites"
"Ajwaini Paratha","North Indian","Kalyan Nagar",""
"Akki Rottis","North Indian","New BEL Road","Casual Dining"
"Akki Rottis","North Indian","New BEL Road"," Lounge"
"Akki Rottis","North Indian","Whitefield","Quick Bites"
"Akki Rottis","North Indian","Kanakapura Road","Casual Dining"
"Akki Rottis","North Indian","JP Nagar","Casual Dining"
"Akki Rottis","North Indian","Indiranagar","Casual Dining"
"Akki Rottis","North Indian","Malleshwaram","Quick Bites"
"Akki Rottis","North Indian","Malleshwaram"," Bakery"
"Akki Rottis","North Indian","Bannerghatta Road","Quick Bites"
"Akki Rottis","North Indian","Infantry Road","Quick Bites"
"Akki Rottis","North Indian","Residency Road","Quick Bites"
"Akki Rottis","North Indian","Rajajinagar","Casual Dining"
"Akki Rottis","North Indian","New BEL Road","Quick Bites"
"Akki Rottis","North Indian","JP Nagar","Quick Bites"
"Akki Rottis","North Indian","MG Road","Quick Bites"
"Akki Rottis","North Indian","Yeshwantpur","Quick Bites"
"Al Faham Chicken","Arabian","Frazer Town","Casual Dining"
"Al Faham Chicken","Arabian","Brookefield","Casual Dining"
"Al Faham Chicken","Arabian","Sarjapur Road","Quick Bites"
"Al Faham Chicken","Arabian","Electronic City","Quick Bites"
"Al Faham Chicken","Arabian","Marathahalli","Casual Dining"
"Al Faham Chicken","Arabian","Banaswadi","Quick Bites"
"Al Faham Chicken","Arabian","Kalyan Nagar","Casual Dining"
"Alfam Chicken","North Indian","Kammanahalli","Casual Dining"
"Almond Crunch","Desserts","Indiranagar","Dessert Parlor"
"Almond Flakes","Pizza","JP Nagar","Lounge"
"Almond Flakes","Pizza","JP Nagar"," Bar"
"Almond Fudge","Ice Cream","Frazer Town","Dessert Parlor"
"Almond Fudge","Ice Cream","Marathahalli","Dessert Parlor"
"Almond Fudge","Ice Cream","Basavanagudi","Dessert Parlor"
"Almond Fudge","Ice Cream","Lavelle Road","Dessert Parlor"
"Almond Fudge","Ice Cream","Indiranagar","Dessert Parlor"
"Almond Fudge","Ice Cream","Kalyan Nagar","Dessert Parlor"
"Almond Ice Cream","Ice Cream","Marathahalli","Dessert Parlor"
